dataset_name,subject_id,fold_id,accuracy,balanced_accuracy,prediction_histogram,collapse_ratio,collapse_flag,majority_predicted_class,spatial_delta_l2,spatial_delta_max_abs,spatial_relative_delta,spatial_changed,mean_confidence,mean_normalized_prediction_entropy,n_trainable_params_final
Stieger2021,1,1,0.8173719376391982,0.81729853116316,"[220, 229]",0.51002227,False,1,1.39961753,0.2795848,1.22827318,True,0.83794992,0.52341903,1782
Stieger2021,1,2,0.8240534521158129,0.823670107185391,"[213, 236]",0.52561247,False,1,1.56075238,0.28264409,1.36968154,True,0.82812259,0.54316693,1782
Stieger2021,1,3,0.821826280623608,0.8212187375942834,"[208, 241]",0.53674833,False,1,1.4067526,0.25434889,1.23453476,True,0.82434908,0.56053698,1782
Stieger2021,1,4,0.8173719376391982,0.8174771734815403,"[224, 225]",0.50111359,False,1,1.4691855,0.27650425,1.28932448,True,0.82260628,0.56087627,1782
Stieger2021,1,5,0.8415178571428571,0.841267942583732,"[215, 233]",0.52008929,False,1,1.3917977,0.25392224,1.22141067,True,0.82908486,0.55166596,1782
Stieger2021,2,1,0.8938428874734607,0.8938852813852813,"[233, 238]",0.50530786,False,1,1.51965687,0.31242956,1.33361703,True,0.87535544,0.43255844,1782
Stieger2021,2,2,0.9193205944798302,0.9194534632034632,"[235, 236]",0.50106157,False,1,1.45289666,0.30406146,1.27502975,True,0.88672415,0.40855031,1782
Stieger2021,2,3,0.9044585987261147,0.9042165632664839,"[225, 246]",0.52229299,False,1,1.48409415,0.27771969,1.30240798,True,0.86685882,0.45164284,1782
Stieger2021,2,4,0.9193205944798302,0.9193027701630356,"[232, 239]",0.507431,False,1,1.4679175,0.24482396,1.28821171,True,0.87698554,0.42753958,1782
Stieger2021,2,5,0.9063829787234042,0.9064282997337391,"[233, 237]",0.50425532,False,1,1.51162848,0.35523297,1.32657149,True,0.88513049,0.40689069,1782
Stieger2021,3,1,0.9217687074829932,0.9217687074829932,"[146, 148]",0.50340136,False,1,1.3488071,0.37232231,1.18368308,True,0.91943513,0.32523564,1782
Stieger2021,3,2,0.9455782312925171,0.945578231292517,"[149, 145]",0.50680272,False,0,1.26537036,0.31463748,1.11046085,True,0.92955893,0.29793291,1782
Stieger2021,3,3,0.9217687074829932,0.9217687074829932,"[144, 150]",0.51020408,False,1,1.24811633,0.3383971,1.0953191,True,0.91376153,0.33687467,1782
Stieger2021,3,4,0.931740614334471,0.9317165222253285,"[144, 149]",0.50853242,False,1,1.36454581,0.32442757,1.19749502,True,0.92817487,0.29587839,1782
Stieger2021,3,5,0.931740614334471,0.9317398192153574,"[146, 147]",0.50170648,False,1,1.34034862,0.36354078,1.1762601,True,0.93306334,0.28425556,1782
Stieger2021,4,1,0.7204545454545455,0.7204545454545455,"[205, 235]",0.53409091,False,1,1.41813456,0.45580048,1.24452331,True,0.72961892,0.77129058,1782
Stieger2021,4,2,0.683371298405467,0.6833333333333333,"[227, 212]",0.51708428,False,0,1.42568508,0.49318553,1.25114948,True,0.73488645,0.7588128,1782
Stieger2021,4,3,0.744874715261959,0.7449771689497717,"[200, 239]",0.54441913,False,1,1.34196774,0.37248616,1.177681,True,0.72954482,0.77525214,1782
Stieger2021,4,4,0.7608200455580866,0.7608239933582399,"[219, 220]",0.50113895,False,1,1.38991903,0.35156737,1.21976199,True,0.72492261,0.77750543,1782
Stieger2021,4,5,0.7562642369020501,0.7562058945620589,"[231, 208]",0.5261959,False,0,1.29855851,0.42212585,1.13958604,True,0.73173441,0.77330739,1782
