subject_id,channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values
1,54,P8,0.11356410000000002,0.0,-0.05984809,0.11378526999999998,5
1,41,T8,0.09439464,0.0,0.01158786,0.09545139,5
1,9,C1,0.09426066,0.0,0.04194264,0.09488921,5
1,15,CP3,0.09290144,0.0,0.0215564,0.09572616,5
1,46,P7,0.09286274,0.0,-0.05847711,0.09435733,5
1,58,PO4,0.08776544,0.0,-0.029534510000000003,0.0931756,5
1,51,P2,0.08754919,0.0,-0.04623531,0.08907586,5
1,37,F8,0.08669058,0.0,0.02890417,0.09162612,5
1,39,FT8,0.08151603,0.0,0.07055584,0.08988178,5
1,14,CP5,0.0799754,0.0,0.03742849,0.08609629,5
1,31,F3,0.07913995,0.0,0.07913995,0.08819664,5
1,30,F5,0.07889804,0.0,-0.02986492,0.08124606,5
1,60,O1,0.07842127,0.0,-0.07353199,0.09186016,5
1,38,FT7,0.0754962,0.0,0.01651085,0.08435941,5
1,1,FC3,0.07534032,0.0,0.07534032,0.08232906,5
1,49,P1,0.07481513,0.0,-0.02883526,0.08025429,5
1,43,T10,0.0745697,0.0,0.02710927,0.08219219,5
1,34,F2,0.07454972,0.0,-0.07454972,0.07626948,5
1,44,TP7,0.07450075,0.0,-0.07450075,0.07964237,5
1,7,C5,0.07425345,0.0,0.07425345,0.07791112,5
1,47,P5,0.0741116,0.0,0.0741116,0.07764331,5
1,55,PO7,0.07346864,0.0,-0.00189666,0.0801563,5
1,22,Fpz,0.06988558,0.0,-0.01917736,0.07839371,5
1,56,PO3,0.06963448,0.0,0.06963448,0.07243098,5
1,13,C6,0.06942289,0.0,0.04381878,0.07988006,5
1,24,AF7,0.06584159,0.0,0.03474934,0.07511999,5
1,32,F1,0.06421059,0.0,0.03719893,0.07525339,5
1,53,P6,0.06416027,0.0,-0.06416027,0.07881711,5
1,4,FC2,0.06395949,0.0,-0.00583184,0.07318375,5
1,52,P4,0.06351501,0.0,0.00228687,0.08042938,5
1,40,T7,0.06315532,0.0,-0.02833778,0.07087779,5
1,3,FCz,0.06232901,0.0,-0.014286509999999999,0.07196245,5
1,48,P3,0.061959129999999994,0.0,0.02003759,0.07161786,5
1,35,F4,0.06024587,0.0,0.0098302,0.06989478,5
1,21,Fp1,0.05827701,0.0,0.01399164,0.06917452,5
1,11,C2,0.058055800000000005,0.0,-0.03882527,0.06208555,5
1,5,FC4,0.05686745,0.0,0.027232390000000002,0.05725207,5
1,27,AF4,0.05573281,0.0,-0.01401217,0.061252879999999996,5
