channel_index,channel_name,mean_abs_weight,std_abs_weight,mean_signed_weight,mean_l2_weight,n_fold_values
54,P8,0.1135641,0.0,-0.05984809,0.11378527000000001,45
41,T8,0.09439463999999999,0.0,0.01158786,0.09545139000000001,45
9,C1,0.09426066,0.0,0.04194264,0.09488920999999999,45
15,CP3,0.09290144,0.0,0.0215564,0.09572616000000002,45
46,P7,0.09286274000000001,0.0,-0.05847711,0.09435733,45
58,PO4,0.08776544,0.0,-0.029534509999999996,0.0931756,45
51,P2,0.08754919,0.0,-0.04623531,0.08907586,45
37,F8,0.08669058,0.0,0.02890417,0.09162612,45
39,FT8,0.08151603,0.0,0.07055584,0.08988178,45
14,CP5,0.0799754,0.0,0.03742849,0.08609629,45
31,F3,0.07913995,0.0,0.07913995,0.08819664,45
30,F5,0.07889804,0.0,-0.02986492,0.08124606,45
60,O1,0.07842127,0.0,-0.07353199,0.09186016,45
38,FT7,0.0754962,0.0,0.01651085,0.08435941,45
1,FC3,0.07534032,0.0,0.07534032,0.08232906,45
49,P1,0.07481513,0.0,-0.02883526,0.08025429,45
43,T10,0.0745697,0.0,0.02710927,0.08219219,45
34,F2,0.07454972,0.0,-0.07454972,0.07626948,45
44,TP7,0.07450075,0.0,-0.07450075,0.07964237,45
7,C5,0.07425345,0.0,0.07425345,0.07791112,45
47,P5,0.0741116,0.0,0.0741116,0.07764331,45
55,PO7,0.07346864,0.0,-0.00189666,0.0801563,45
22,Fpz,0.06988558,0.0,-0.01917736,0.07839371,45
56,PO3,0.06963448,0.0,0.06963448,0.07243098,45
13,C6,0.06942289,0.0,0.04381878,0.07988006,45
24,AF7,0.06584159,0.0,0.03474934,0.07511999,45
32,F1,0.06421059,0.0,0.03719893,0.07525339,45
53,P6,0.06416027,0.0,-0.06416027,0.07881711,45
4,FC2,0.06395949,0.0,-0.00583184,0.07318375,45
52,P4,0.06351501,0.0,0.00228687,0.08042938,45
40,T7,0.06315532,0.0,-0.02833778,0.07087779,45
3,FCz,0.06232901,0.0,-0.01428651,0.07196245,45
48,P3,0.06195913,0.0,0.02003759,0.07161786,45
35,F4,0.06024587,0.0,0.0098302,0.06989478,45
21,Fp1,0.05827701,0.0,0.01399164,0.06917452,45
11,C2,0.0580558,0.0,-0.03882527,0.06208555,45
5,FC4,0.05686745,0.0,0.02723239,0.05725207,45
27,AF4,0.05573281,0.0,-0.014012170000000001,0.06125288,45
25,AF3,0.05563521,0.0,0.02611951,0.0640661,45
2,FC1,0.05488712,0.0,-0.01085492,0.0676394,45
33,Fz,0.05463750999999999,0.0,0.00222468,0.06489594,45
0,FC5,0.05398777,0.0,0.01579387,0.06322841,45
20,CP6,0.05348083,0.0,-0.046440920000000004,0.06154052,45
28,AF8,0.05072279,0.0,0.03561575,0.056324219999999994,45
23,Fp2,0.050142849999999996,0.0,0.050142849999999996,0.05652098999999999,45
57,POz,0.04968823,0.0,-0.00529101,0.05196933,45
12,C4,0.049471390000000004,0.0,-0.04420742,0.05690454,45
59,PO8,0.04759087,0.0,0.00555089,0.06583823,45
8,C3,0.04648526,0.0,0.01053876,0.06395879,45
18,CP2,0.04367702,0.0,0.007237129999999999,0.05313179,45
42,T9,0.0434443,0.0,0.014447130000000002,0.04681759,45
16,CP1,0.04312689,0.0,-0.00058126,0.04424907,45
29,F7,0.0422501,0.0,0.01561007,0.04502052,45
26,AFz,0.0408384,0.0,-0.0408384,0.04916587000000001,45
36,F6,0.04015844,0.0,-0.04015844,0.04378325,45
6,FC6,0.03725709,0.0,0.03640245,0.053013939999999996,45
63,Iz,0.03699831,0.0,0.00494328,0.04709437,45
17,CPz,0.03681294,0.0,-0.0224224,0.05074652,45
45,TP8,0.0354858,0.0,-0.0163755,0.03918134,45
10,Cz,0.03448404,0.0,-0.00911702,0.03765979,45
50,Pz,0.01991418,0.0,-0.01991418,0.02352265,45
62,O2,0.0176375,0.0,-0.0176375,0.02383194,45
61,Oz,0.01568495,0.0,0.01568495,0.01873812,45
19,CP4,0.01393013,0.0,0.00080755,0.01741483,45
