run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260408_1735_90a931e9,51,"[0.625, 0.65, 0.675, 0.525, 0.6]","[0.625, 0.6499999999999999, 0.675, 0.525, 0.6]",0.615,0.05147815070493501,0.615,0.05147815070493499
20260408_1747_bce3c5ff,51,"[0.625, 0.55, 0.7, 0.6, 0.4]","[0.625, 0.55, 0.7000000000000001, 0.6, 0.4]",0.575,0.09999999999999998,0.575,0.1
20260408_1759_d0b4779b,51,"[0.4, 0.625, 0.45, 0.15, 0.475]","[0.4, 0.625, 0.44999999999999996, 0.15000000000000002, 0.475]",0.41999999999999993,0.154434452114805,0.42000000000000004,0.154434452114805
20260408_1811_f79c8bc1,51,"[0.7, 0.525, 0.7, 0.55, 0.325]","[0.7, 0.525, 0.7, 0.55, 0.325]",0.56,0.13838352503098045,0.56,0.13838352503098045
20260408_1824_eff5bd3a,51,"[0.4, 0.5, 0.55, 0.125, 0.425]","[0.4, 0.5, 0.55, 0.125, 0.42500000000000004]",0.4,0.14747881203752627,0.4,0.14747881203752627
20260408_1835_c7a68041,51,"[0.6, 0.5, 0.575, 0.5, 0.35]","[0.6000000000000001, 0.5, 0.575, 0.5, 0.35]",0.505,0.08717797887081347,0.505,0.0871779788708135
20260408_1849_89f91aac,51,"[0.7, 0.675, 0.7, 0.7, 0.275]","[0.7, 0.675, 0.7000000000000001, 0.7, 0.275]",0.6100000000000001,0.16777961735562516,0.6100000000000001,0.16777961735562516
20260408_1908_cdfe1f4d,51,"[0.725, 0.65, 0.675, 0.7, 0.275]","[0.725, 0.65, 0.675, 0.7, 0.275]",0.605,0.16688319268278634,0.605,0.16688319268278634
20260408_1929_a944d1a5,51,"[0.725, 0.675, 0.725, 0.675, 0.475]","[0.725, 0.675, 0.725, 0.6749999999999999, 0.475]",0.655,0.09273618495495704,0.655,0.09273618495495704
20260408_1943_ace09cf5,51,"[0.7, 0.675, 0.625, 0.675, 0.575]","[0.7, 0.6749999999999999, 0.625, 0.6749999999999999, 0.5750000000000001]",0.65,0.04472135954999581,0.65,0.044721359549995746
20260408_1957_6fe9c54d,51,"[0.675, 0.6, 0.65, 0.675, 0.475]","[0.675, 0.6, 0.65, 0.6749999999999999, 0.475]",0.615,0.07516648189186456,0.615,0.07516648189186455
20260408_2010_4c52a808,51,"[0.675, 0.65, 0.7, 0.675, 0.525]","[0.675, 0.65, 0.7000000000000001, 0.675, 0.525]",0.645,0.06204836822995428,0.645,0.0620483682299543
20260408_2023_22bdb8dd,51,"[0.675, 0.7, 0.65, 0.25, 0.275]","[0.675, 0.7, 0.65, 0.25, 0.275]",0.51,0.20285462775100796,0.51,0.20285462775100796
20260408_2118_e55be510,51,"[0.65, 0.775, 0.675, 0.225, 0.275]","[0.65, 0.7749999999999999, 0.675, 0.22499999999999998, 0.275]",0.52,0.22494443758403984,0.5199999999999999,0.22494443758403984
20260408_2205_3e41fbb1,51,"[0.7, 0.65, 0.7, 0.7, 0.275]","[0.7, 0.65, 0.7000000000000001, 0.7, 0.275]",0.605,0.16613247725836147,0.605,0.16613247725836147
20260408_2238_d564163a,51,"[0.7, 0.725, 0.7, 0.7, 0.275]","[0.7, 0.725, 0.7000000000000001, 0.7, 0.275]",0.62,0.17277152543170993,0.62,0.17277152543170993
20260408_2313_fd52d16c,51,"[0.7, 0.675, 0.675, 0.7, 0.275]","[0.7, 0.675, 0.675, 0.7, 0.275]",0.605,0.16537835408541227,0.605,0.16537835408541227
20260408_2338_da80acf9,51,"[0.7, 0.7, 0.7, 0.7, 0.275]","[0.7, 0.7, 0.7000000000000001, 0.7, 0.275]",0.615,0.16999999999999998,0.615,0.16999999999999998
