run_id,subject_id,accuracies,balanced_accuracies,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy
20260408_1735_90a931e9,48,"[0.95, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]",0.99,0.020000000000000018,0.99,0.020000000000000018
20260408_1735_90a931e9,49,"[1.0, 0.925, 0.975, 0.975, 0.975]","[1.0, 0.9249999999999999, 0.975, 0.975, 0.975]",0.97,0.02449489742783176,0.97,0.0244948974278318
20260408_1735_90a931e9,50,"[1.0, 1.0, 0.975, 0.975, 1.0]","[1.0, 1.0, 0.975, 0.975, 1.0]",0.99,0.012247448713915901,0.99,0.012247448713915901
20260408_1735_90a931e9,51,"[0.625, 0.65, 0.675, 0.525, 0.6]","[0.625, 0.6499999999999999, 0.675, 0.525, 0.6]",0.615,0.05147815070493501,0.615,0.05147815070493499
20260408_1735_90a931e9,52,"[1.0, 0.95, 0.975, 1.0, 0.95]","[1.0, 0.95, 0.975, 1.0, 0.95]",0.975,0.022360679774997918,0.975,0.022360679774997918
20260408_1735_90a931e9,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1735_90a931e9,54,"[0.775, 0.85, 0.85, 0.8, 0.825]","[0.775, 0.8500000000000001, 0.8500000000000001, 0.8, 0.8250000000000001]",0.8200000000000001,0.02915475947422648,0.8200000000000001,0.02915475947422653
20260408_1747_bce3c5ff,54,"[0.825, 0.875, 0.9, 0.825, 0.85]","[0.8250000000000001, 0.875, 0.9, 0.825, 0.8500000000000001]",0.8549999999999999,0.02915475947422653,0.8550000000000001,0.0291547594742265
20260408_1747_bce3c5ff,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1747_bce3c5ff,52,"[1.0, 0.95, 0.975, 1.0, 0.975]","[1.0, 0.95, 0.975, 1.0, 0.975]",0.9799999999999999,0.018708286933869726,0.9799999999999999,0.018708286933869726
20260408_1747_bce3c5ff,49,"[1.0, 0.95, 0.975, 0.975, 0.975]","[1.0, 0.95, 0.975, 0.975, 0.975]",0.975,0.01581138830084191,0.975,0.01581138830084191
20260408_1747_bce3c5ff,50,"[1.0, 1.0, 0.975, 0.975, 1.0]","[1.0, 1.0, 0.975, 0.975, 1.0]",0.99,0.012247448713915901,0.99,0.012247448713915901
20260408_1747_bce3c5ff,48,"[0.95, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]",0.99,0.020000000000000018,0.99,0.020000000000000018
20260408_1747_bce3c5ff,51,"[0.625, 0.55, 0.7, 0.6, 0.4]","[0.625, 0.55, 0.7000000000000001, 0.6, 0.4]",0.575,0.09999999999999998,0.575,0.1
20260408_1759_d0b4779b,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1759_d0b4779b,54,"[0.75, 0.875, 0.825, 0.725, 0.75]","[0.7499999999999999, 0.875, 0.825, 0.7250000000000001, 0.75]",0.785,0.05612486080160912,0.785,0.05612486080160911
20260408_1759_d0b4779b,52,"[0.975, 0.925, 0.95, 1.0, 0.95]","[0.975, 0.925, 0.95, 1.0, 0.95]",0.96,0.025495097567963917,0.96,0.025495097567963917
20260408_1759_d0b4779b,49,"[1.0, 0.95, 0.925, 0.975, 0.975]","[1.0, 0.95, 0.925, 0.975, 0.975]",0.9650000000000001,0.025495097567963913,0.9650000000000001,0.025495097567963913
20260408_1759_d0b4779b,50,"[1.0, 1.0, 1.0, 0.975, 1.0]","[1.0, 1.0, 1.0, 0.975, 1.0]",0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
20260408_1759_d0b4779b,48,"[0.95, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]",0.99,0.020000000000000018,0.99,0.020000000000000018
20260408_1759_d0b4779b,51,"[0.4, 0.625, 0.45, 0.15, 0.475]","[0.4, 0.625, 0.44999999999999996, 0.15000000000000002, 0.475]",0.41999999999999993,0.154434452114805,0.42000000000000004,0.154434452114805
20260408_1811_f79c8bc1,48,"[0.95, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]",0.99,0.020000000000000018,0.99,0.020000000000000018
20260408_1811_f79c8bc1,49,"[0.975, 0.975, 0.975, 0.95, 0.975]","[0.975, 0.975, 0.975, 0.95, 0.975]",0.97,0.010000000000000009,0.97,0.010000000000000009
20260408_1811_f79c8bc1,50,"[1.0, 1.0, 1.0, 0.975, 1.0]","[1.0, 1.0, 1.0, 0.975, 1.0]",0.9949999999999999,0.010000000000000009,0.9949999999999999,0.010000000000000009
20260408_1811_f79c8bc1,51,"[0.7, 0.525, 0.7, 0.55, 0.325]","[0.7, 0.525, 0.7, 0.55, 0.325]",0.56,0.13838352503098045,0.56,0.13838352503098045
20260408_1811_f79c8bc1,52,"[1.0, 0.95, 0.925, 0.975, 0.975]","[1.0, 0.95, 0.925, 0.975, 0.975]",0.9650000000000001,0.025495097567963913,0.9650000000000001,0.025495097567963913
20260408_1811_f79c8bc1,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1811_f79c8bc1,54,"[0.725, 0.825, 0.85, 0.775, 0.8]","[0.725, 0.825, 0.85, 0.775, 0.7999999999999999]",0.7949999999999999,0.043011626335213125,0.7949999999999999,0.043011626335213125
20260408_1824_eff5bd3a,53,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1824_eff5bd3a,54,"[0.725, 0.8, 0.75, 0.65, 0.725]","[0.7250000000000001, 0.8, 0.75, 0.6499999999999999, 0.7250000000000001]",0.73,0.048476798574163295,0.7300000000000001,0.04847679857416333
20260408_1824_eff5bd3a,52,"[0.95, 0.925, 0.925, 1.0, 0.925]","[0.95, 0.925, 0.925, 1.0, 0.925]",0.945,0.029154759474226483,0.945,0.029154759474226483
20260408_1824_eff5bd3a,49,"[1.0, 0.95, 0.925, 0.95, 0.975]","[1.0, 0.95, 0.925, 0.95, 0.975]",0.96,0.025495097567963917,0.96,0.025495097567963917
20260408_1824_eff5bd3a,50,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,1.0,0.0
20260408_1824_eff5bd3a,48,"[0.95, 1.0, 1.0, 1.0, 1.0]","[0.95, 1.0, 1.0, 1.0, 1.0]",0.99,0.020000000000000018,0.99,0.020000000000000018
